NREL category (Component category),NREL category (Associated Project),NREL category (turbine rating in MW),Arrival Date,Carrier,Shipment Origin,Shipment Origin detailed,Shipment Destination,Vessel,Quantity,Weight (kg),Weight (t),Value of Goods (USD),HS Code,Goods Shipped
Monopiles,Revolution Wind 1,11,2024-02-08,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,Revolution Wind 1,11,2024-03-04,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TRIUMPH,4,,,,,
Monopiles,Revolution Wind 1,11,2024-06-08,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TRUSTEE,4,,,,,
Monopiles,Revolution Wind 1,11,2024-06-17,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,South Fork,11,2023-06-21,,Germany,"Nordenham, Gerrmany","Argentia, Canada",TRIUMPH,4,,,,,
Monopiles,South Fork,11,2023-06-29,,Germany,"Nordenham, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,South Fork,11,2023-07-20,,Germany,"Nordenham, Gerrmany","Argentia, Canada",TRUSTEE,4,,,,,
Monopiles and Transition Pieces,Vineyard Wind 1,13,2023-08-04,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,17508000,17508,299597000,Classified: 8411.99,"6 X MONOPILES: AQ38, AT39, AS39 AV38, AN37, AU38 6 X TRANSITION PIECES: AQ38, AT39, AS39 AV38, AN37, AU38 6 X ANODE CAGES WITH PIRANHA CLAMPS 300T GROUT 6 X TP COVER LEASE AREA OCS-A 0501N (PLYMOUTH, MA) ETA: AUG 3, 2023"
Monopiles and Transition Pieces,Vineyard Wind 1,13,2023-09-17,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,17313,17.31,296000,Classified: 8411.99,"6 X MONOPILES 6 X TRANSITION PIECES 6 X ANODE CAGES WITH PIRANHA CLAMPS 300T GROUT 6 X TP COVER LEASE AREA OCS-A 0501N (PLYMOUTH, MA) FLAG: BELGIUM IMO 9825453"
Monopiles and Transition Pieces,Vineyard Wind 1,13,2023-10-10,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,11851200,11851.2,202798000,Classified: 8411.99,"6 X MONOPILES (AR42, AP39, AN38, AR40, AS42, AP40) (GERMANY) 5 X TRANSITION PIECES (AQ36, AQ39, AQ40, AT41, AR38) (SPAIN) 6 X ANODE CAGES WITH PIRANHA CLAMPS 5 X(250T) GROUT (CANADA) 5 X TP COVER (THE NETHERLANDS) DIMS: 41. 860X69 M3 LEASE AREA OCS-A 0501N (PLYMOUTH, MA) IMO: 9825453 ETD: HALIFAX: OCTOBER 8, 2023"
Monopiles and Transition Pieces,Vineyard Wind 1,13,2023-10-24,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,12345900,12345.9,211263000,Classified: 8411.99,"6 X MONOPILES (AQ42, AM38, AQ41, AQ40, AR42, AP40) (GERMANY) 6 X TRANSITION PIECES (AS42, AQ39, AN38, AP39, AR41, AU40) (SPAIN) 6 X ANODE CAGES WITH PIRANHA CLAMPS (SPAIN) 6 X(250T) GROUT (CANADA) 6 X TP COVER (THE NETHERLANDS) DIMS: 43. 440 X 87 M3 LEASE AREA OCS-A 0501N (PLYMOUTH, MA) IMO: 9825453"
Monopiles and Transition Pieces,Vineyard Wind 1,13,2023-11-08,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,12668400,12668.4,216782000,Classified: 8411.99,"6 X MONOPILES: COUNTRY OF ORIGIN: GERMANY AN39, AP41, AM39, AT37, AL38, AS37 6 X TRANSITION PIECES: COUNTRY OF ORIGIN: SPAIN AQ42, AM38, AQ41, AQ40, AR42, AP40 300T GROUT: COUNTRY OF ORIGIN: CANADA 6 X TP COVER: COUNTRY OF ORIGIN: THE NETHERLANDS DIMS: 43. 661, 67M3 LEASE AREA OCS-A 0501N (PLYMOUTH, MA)"
Monopiles,Vineyard Wind 1,13,2023-11-25,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,9710700,9710.7,208537000,Classified: 6909.19,"6 X MONOPILES: AQ34, AP35, AN36, AS32, AR33, AS33 (COO: GERMANY) DIMS: 35 X 237 X 38 M3 LEASE AREA OCS-A 0501N (PLYMOUTH, MA)"
Monopiles,Vineyard Wind 1,13,2023-12-07,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,10164500,10164.5,218283000,Classified: 6909.19,6 X MONOPILES: C. O. O.: GERMANY DIMS: 36 X 238 X 85 M3 AR34: 79. 52 X 9. 6 X 8 AR37: 76. 5 X 9. 6 X 8 AT33: 82. 7 X 9. 6 X 8 AS32: 80. 08 X 9. 6 X 8 AR33: 75. 51 X 9. 6 X 8 AS33: 77. 55 X 9. 6 X 8 LEASE AREA OCS-A 0501N
Monopiles,Vineyard Wind 1,13,2023-12-24,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,4,7152500,7152.5,153600000,Classified: 6909.19,"4 X MONOPILES: COUNTRY OF ORIGIN: GERMANY DIMS: L X B X H AR33 75. 51 X 9. 6X 8 AS33 77. 55 X 9. 6X 8 AQ35 78 X 9. 6 X 8 AS34 84. 6 X 9. 6 X 8 LEASE AREA OCS-A 0501N (PLYMOUTH, MA)"
Monopiles,Vineyard Wind 1,13,2024-11-18,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,10223,10.22,28500,Classified: 9403.20,6 X MONOPILES DIMS: 36. 357 X 12 CM (COUNTRY OF ORIGIN: GERMANY) AT38 75. 7L X 9. 6B X 8H AV37 77L X 9. 6B X 8H AU37 82. 1L X 9. 6B X 8H AU36 84. 7L X 9. 6B X 8H AP36 76. 1L X 9. 6B X 8H AR35 77. 8L X 9. 6B X 8H LEASE AREA OCS-A 0501N
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
