NREL category (Component category),NREL category (Associated Project),NREL category (turbine rating in MW),Arrival Date,Shipment Origin,Shipment Destination,Quantity of Blades,Quantity,Measurement,Weight (Original Format),Value of Goods (USD),HS Code,Goods Shipped
Blades,Vineyard Wind 1,13,2024-07-17,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,2165000,Classified: 8205.59,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADES
Equipment for tranportation of blades,Revolution Wind,11,2024-07-29,Denmark,"Port Of Entry-New London, New London, Connecticut",-,85 PCS, ,58069000 KG,163522000,Classified: 7325.99,"US-BL-2024-0004 AALBORG TEMPORARY IMPORT PL-2 5 PCS - ROOT BLADE FOOT NB12 7560104365-9. 375, 000 KG 5 PCS - ROOT ADAPTOR CONNECTOR NB12 RIGHT 756 0104366-157, 000 KG 5 PCS - ROOT ADAPTOR CONNECTOR NB12, LEFT 756 0104367-157, 000 KG 5 PCS - ROOT SUPPORT B81-NB12 (RETRO B75, ASS Y 7560104368 15. 000, 000 KG 10 PCS - TUBE SPACER 5 NB12, 2 PCS 7560104369 340, 000 KG 45 PCS - TUBE SPACER 5 NB12, 9 PCS-900, 000 KG 5 PCS - TIP CLAMP NB12, ASMKG-17. 500, 000 KG 5 PCS - B81-NB12 TIP LOWER SECTION, ASSY-14. 640, 000 KG"
Blades,Revolution Wind,11,2024-07-29,Denmark,"Port Of Entry-New London, New London, Connecticut",5,5 PCS, ,215000 KG,2973000,Classified: 9508.10,"PERMANENT IMPORT PL-1 (CUSTOMER) MAIN COMPONENETS 5 PCS BLADE_B97_01 K01 7035 LEP 2. 1 (21+0)M BLADE NUMBERS: SET 222 - 970305701 SET 224 - 970139901, 970140101, 970235201 SET 226 - 970306101"
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-07-29,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,321645 CM,229800 K,1523000,Classified: 8708.29,BLADE STACKING FRAME ROOT WITH 6 INTERFACE ROOT MADE OF 12 SECTIONS (6 LOW/UPPER PARTS) BLADE STACKING FRAME TIP WITH 6 INTERFACE TIP MADE OF 12 SECTIONS (6 LOW/UPPER PARTS)
Blades,Vineyard Wind 1,13,2024-07-29,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,2165000,Classified: 8205.59,LM 107. 0 P2 W/ 30MM STIFF PLT GE WIND BLADES
Equipment for tranportation of blades,Revolution Wind,11,2024-07-31,Denmark,"Port Of Entry-New London, New London, Connecticut",-,85 PCS, ,58069 KG,164000,Classified: 7325.99,"5 PCS - ROOT BLADE FOOT NB12 - 7560106543 5 PCS - ROOD ADAPTOR CONNECTOR NB12 RIGHT - 7 560106544 5 PCS - ROOT ADAPTOR CONNECTOR NB12 LEFT - 7560106545 5 PCS - ROOT SUPPORT B81-NB12 (RETRO B75, ASS Y - 7560106546 10 PCS - TUBE SPACER 5 NB12, 2 PCS - 75601065 47 45 PCS - TUBE SPACER 5 NB12, 9 PCS 5 PCS - TIP NB12, ASM 5 PCS - B81-NB12 TIP LOWER SECTION, ASSY"
Equipment for tranportation of blades,Revolution Wind,11,2024-08-01,Denmark,"Port Of Entry-New London, New London, Connecticut",-,85 PCS, ,58069 KG,164000,Classified: 7325.99,"5 PCS - ROOT BLADE FOOT NB12 - 7560106564 5 PCS - ROOT ADAPTOR CONNECTOR NB12 RIGHT - 7 560106565 - 5 PCS - ROOT ADAPTOR CONNECTOR NB 12, LEFT - 7560106566 - 5 PCS - ROOT SUPPORT B81-NB12 (RETRO B75, ASSY - 7560106567 - 10 P CS - TUBE SPQACER 5 NB12, 2 PCS - 45 PCS - TU BE SPACER 5 NB12, 9 PCS - 5PCS - TIP CLAMP NB 12, ASM - 5PCS - B81-NB12 TIP LOWER SECTION, ASSY"
Blades,Revolution Wind,11,2024-08-01,Denmark,"Port Of Entry-New London, New London, Connecticut",5,5 PCS, ,215000 KG,1206000,Classified: 3213.90,BLADE - B97 01 K01 7035 LEP 2. 1 (21+0)M
Equipment for tranportation of blades,Revolution Wind,11,2024-08-11,Denmark,"Port Of Entry-New London, New London, Connecticut",-,142 PCS, ,185902 KG,601000,Classified: 7308.90; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8609.00; Classified: 8501.53,STC 120 ITEMS WHICH 119 PCS ARE MOUNTED ON 7BLADE S 7 ROOT FRAMES 7 ROOT ADAPTER 7 ROOT ADAPTER 7 ROOT SUPPORT 14 TUBE SPACER 63 TUBE SPACER 7 TIP CLAMP 7 B81TIP LOWER SECTION 1 SPREADER BEAM W/ FRAMES WLL 450T; STC EMPTY 20' FLAT RACK; STC EMPTY 40' FLAT RACK; STC EMPTY 20' FLAT RACK; STC EMPTY 40' FLAT RACK; STC EMPTY 20' FLAT RACK; STC EMPTY 40' FLAT RACK; STC EMPTY 40' FLAT RACK; STC EMPTY 20' FLAT RACK; STC EMPTY 40' FLAT RACK; STC EMPTY 20' FLAT RACK; STC EMPTY 40' FLAT RACK; STC EMPTY 40' FLAT RACK; STC EMPTY 20' FLAT RACK; STC EMPTY 40' FLAT RACK; STC EMPTY 40' FLAT RACK; STC EMPTY 20' FLAT RACK; STC EMPTY 40' FLAT RACK; STC EMPTY 20' FLAT RACK; STC EMPTY 40' FLAT RACK; STC EMPTY 20' FLAT RACK; STC EMPTY 40' FLAT RACK; STC MOTOR ASSEMBLY INSIDE 1 X 20' DC C ONTAINER
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-08-11,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS, ,229600 KG,17079000,Classified: 8422.40,"FIRMLY ATTACHED TO THE BLADES: BLADE STACKING FRAME ROOT WITH INTERFACE ROOT MADE OF 18 SECTIONS 109, 200 KGS BLADE STACKING FRAME ROOT WITH INTERFACE ROOT MADE OF 18 SECTIONS 120, 600 KGS"
